"Year","County","Dispensary_Count","Population","Dispensary_PerCapita"
"2020","Alameda County","76","1682331","4.5175414350684"
"2020","Calaveras County","4","45285","8.8329468919068"
"2020","Colusa County","1","21837","4.5793836149654"
"2020","Contra Costa County","9","1165927","0.77191796741992"
"2020","El Dorado County","9","191184","4.7075069043435"
"2020","Fresno County","1","1008650","0.099142418083577"
"2020","Humboldt County","17","136465","12.457406661049"
"2020","Imperial County","6","179709","3.3387309483665"
"2020","Inyo County","2","19025","10.512483574244"
"2020","Kern County","7","909244","0.76987035383241"
"2020","Kings County","2","152488","1.3115786160222"
"2020","Lake County","3","68158","4.4015376038029"
"2020","Lassen County","1","32730","3.0553009471433"
"2020","Los Angeles County","197","10014042","1.9672376049551"
"2020","Marin County","8","262318","3.0497335295329"
"2020","Mendocino County","14","91595","15.284677111196"
"2020","Merced County","7","281202","2.4893137317658"
"2020","Mono County","5","13198","37.884527958782"
"2020","Monterey County","17","439036","3.8721198261646"
"2020","Napa County","5","138024","3.6225583956413"
"2020","Nevada County","4","102235","3.9125544089598"
"2020","Orange County","22","3186979","0.6903089100995"
"2020","Placer County","1","404740","0.24707219449523"
"2020","Riverside County","62","2418177","2.5639148829883"
"2020","Sacramento County","65","1585046","4.1008273576918"
"2020","San Benito County","1","64207","1.5574625819615"
"2020","San Bernardino County","18","2181662","0.82505906047775"
"2020","San Diego County","40","3298635","1.2126227970054"
"2020","San Francisco County","51","873959","5.835514022969"
"2020","San Joaquin County","5","779227","0.64166154406867"
"2020","San Luis Obispo County","11","282443","3.8945911210403"
"2020","San Mateo County","10","764432","1.3081608305251"
"2020","Santa Barbara County","21","448217","4.6852305914323"
"2020","Santa Clara County","8","1936274","0.41316466574462"
"2020","Santa Cruz County","13","270869","4.7993679601579"
"2020","Shasta County","8","182152","4.3919364047609"
"2020","Siskiyou County","4","44075","9.0754395916052"
"2020","Solano County","11","453490","2.425632318243"
"2020","Sonoma County","14","488875","2.8637177192534"
"2020","Stanislaus County","23","552880","4.1600347272464"
"2020","Tulare County","6","473117","1.2681852480465"
"2020","Ventura County","12","843843","1.422065479005"
"2020","Yolo County","4","216405","1.8483861278621"
"2020","Yuba County","2","81578","2.4516413738998"
"2021","Alameda County","100","1643837","6.0833282131988"
"2021","Calaveras County","5","46219","10.818061836041"
"2021","Colusa County","2","21913","9.1270022361155"
"2021","Contra Costa County","13","1163298","1.1175124516676"
"2021","Del Norte County","2","27553","7.258737705513"
"2021","El Dorado County","10","193590","5.1655560721112"
"2021","Fresno County","4","1012992","0.39486985089714"
"2021","Humboldt County","18","134836","13.349550565131"
"2021","Imperial County","10","179215","5.5798900761655"
"2021","Inyo County","2","18927","10.566914989169"
"2021","Kern County","7","912351","0.76724856990347"
"2021","Kings County","4","152679","2.6198756868987"
"2021","Lake County","5","68584","7.2903301061472"
"2021","Lassen County","1","31813","3.1433690629617"
"2021","Los Angeles County","271","9811842","2.7619686497194"
"2021","Marin County","8","259162","3.08687230381"
"2021","Mendocino County","17","91003","18.680702833973"
"2021","Merced County","7","284458","2.4608202265361"
"2021","Mono County","5","13261","37.704547168389"
"2021","Monterey County","24","437249","5.4888633250162"
"2021","Napa County","6","136206","4.4050922866834"
"2021","Nevada County","4","103457","3.8663406052756"
"2021","Orange County","25","3161005","0.79088770818142"
"2021","Placer County","1","412789","0.24225451744111"
"2021","Riverside County","82","2453178","3.3426029419798"
"2021","Sacramento County","71","1588106","4.4707343212607"
"2021","San Benito County","1","66675","1.4998125234346"
"2021","San Bernardino County","21","2192882","0.95764386775029"
"2021","San Diego County","53","3274954","1.6183433416164"
"2021","San Francisco County","58","811253","7.1494342701968"
"2021","San Joaquin County","7","788140","0.88816707691527"
"2021","San Luis Obispo County","18","279298","6.444729285566"
"2021","San Mateo County","13","739060","1.7589911509214"
"2021","Santa Barbara County","23","437434","5.2579360543533"
"2021","Santa Clara County","8","1886595","0.42404437624397"
"2021","Santa Cruz County","14","260495","5.3743833854776"
"2021","Shasta County","9","181981","4.9455712409537"
"2021","Siskiyou County","4","44026","9.0855403625131"
"2021","Solano County","15","450350","3.3307427556345"
"2021","Sonoma County","21","484315","4.3360209780825"
"2021","Stanislaus County","23","552851","4.160252943379"
"2021","Tulare County","9","476946","1.8870060761596"
"2021","Tuolumne County","1","55065","1.8160355942977"
"2021","Ventura County","17","839358","2.0253574755944"
"2021","Yolo County","5","213039","2.3469881101582"
"2021","Yuba County","2","83216","2.4033839646222"
"2022","Alameda County","130","1628997","7.9803707434698"
"2022","Amador County","1","41412","2.4147590070511"
"2022","Calaveras County","5","46563","10.738139724674"
"2022","Colusa County","2","21914","9.1265857442731"
"2022","Contra Costa County","18","1156966","1.5557933422417"
"2022","Del Norte County","5","27082","18.462447382025"
"2022","El Dorado County","10","192646","5.1908682246193"
"2022","Fresno County","16","1015190","1.5760596538579"
"2022","Humboldt County","22","135010","16.295089252648"
"2022","Imperial County","13","178713","7.274232988087"
"2022","Inyo County","3","18718","16.027353349717"
"2022","Kern County","10","916108","1.091574355862"
"2022","Kings County","4","152981","2.6147037867448"
"2022","Lake County","6","68191","8.7988150929008"
"2022","Lassen County","1","29904","3.3440342429106"
"2022","Los Angeles County","421","9721138","4.3307686816091"
"2022","Marin County","8","256018","3.1247802888859"
"2022","Mendocino County","21","89783","23.389728567769"
"2022","Merced County","9","290014","3.1032984614536"
"2022","Mono County","5","12978","38.526737555864"
"2022","Monterey County","27","432858","6.2376114106705"
"2022","Napa County","7","134300","5.2122114668652"
"2022","Nevada County","5","102293","4.8879199945255"
"2022","Orange County","51","3151184","1.6184392913902"
"2022","Placer County","1","417772","0.23936501249485"
"2022","Riverside County","126","2473902","5.0931686057087"
"2022","Sacramento County","102","1584169","6.438706981389"
"2022","San Benito County","1","67579","1.4797496263632"
"2022","San Bernardino County","40","2193656","1.8234399559457"
"2022","San Diego County","69","3276208","2.1060933860121"
"2022","San Francisco County","77","808437","9.524551696669"
"2022","San Joaquin County","15","793229","1.8910049935138"
"2022","San Luis Obispo County","19","282013","6.7372780687415"
